model,track,split,metric,value
Melody-G2,GSM5652317_Blood-B-Z000000UB,TEST,AUC,0.872646465
Melody-G2,GSM5652321_Epidermal-Keratinocytes-Z00000424,SAMPLE_VALID,AUC,0.901095825
Melody-G2,GSM5652321_Epidermal-Keratinocytes-Z00000424,SAMPLE_TEST,AUC,0.908463237
Melody-G2,GSM5652321_Epidermal-Keratinocytes-Z00000424,VALID,AUC,0.886008793
Melody-G2,GSM5652321_Epidermal-Keratinocytes-Z00000424,TEST,AUC,0.886219782
Melody-G2,GSM5652322_Tonsil-Palatine-Epithelial-Z000000QF,SAMPLE_VALID,AUC,0.902443864
Melody-G2,GSM5652322_Tonsil-Palatine-Epithelial-Z000000QF,SAMPLE_TEST,AUC,0.904832341
Melody-G2,GSM5652322_Tonsil-Palatine-Epithelial-Z000000QF,VALID,AUC,0.874797511
Melody-G2,GSM5652322_Tonsil-Palatine-Epithelial-Z000000QF,TEST,AUC,0.877442899
Melody-G2,GSM5652335_Lung-Bronchus-Epithelial-Z000000QD,SAMPLE_VALID,AUC,0.916521756
Melody-G2,GSM5652335_Lung-Bronchus-Epithelial-Z000000QD,SAMPLE_TEST,AUC,0.914825023
Melody-G2,GSM5652335_Lung-Bronchus-Epithelial-Z000000QD,VALID,AUC,0.89034315
Melody-G2,GSM5652335_Lung-Bronchus-Epithelial-Z000000QD,TEST,AUC,0.891070607
Melody-G2,GSM5652338_Prostate-Epithelial-Z000000RV,SAMPLE_VALID,AUC,0.917878097
Melody-G2,GSM5652338_Prostate-Epithelial-Z000000RV,SAMPLE_TEST,AUC,0.923141522
Melody-G2,GSM5652338_Prostate-Epithelial-Z000000RV,VALID,AUC,0.895374058
Melody-G2,GSM5652338_Prostate-Epithelial-Z000000RV,TEST,AUC,0.895408339
Melody-G2,GSM5652342_Bladder-Epithelial-Z000000QM,SAMPLE_VALID,AUC,0.889824602
Melody-G2,GSM5652342_Bladder-Epithelial-Z000000QM,SAMPLE_TEST,AUC,0.904660254
Melody-G2,GSM5652342_Bladder-Epithelial-Z000000QM,VALID,AUC,0.876820776
Melody-G2,GSM5652342_Bladder-Epithelial-Z000000QM,TEST,AUC,0.876861574
Melody-G2,GSM5652347_Breast-Luminal-Epithelial-Z000000V2,SAMPLE_VALID,AUC,0.91601256
Melody-G2,GSM5652347_Breast-Luminal-Epithelial-Z000000V2,SAMPLE_TEST,AUC,0.916136793
Melody-G2,GSM5652347_Breast-Luminal-Epithelial-Z000000V2,VALID,AUC,0.894712697
Melody-G2,GSM5652347_Breast-Luminal-Epithelial-Z000000V2,TEST,AUC,0.894337465
Melody-G2,GSM5652350_Breast-Basal-Epithelial-Z000000V6,SAMPLE_VALID,AUC,0.911424553
Melody-G2,GSM5652350_Breast-Basal-Epithelial-Z000000V6,SAMPLE_TEST,AUC,0.911191105
Melody-G2,GSM5652350_Breast-Basal-Epithelial-Z000000V6,VALID,AUC,0.891558479
Melody-G2,GSM5652350_Breast-Basal-Epithelial-Z000000V6,TEST,AUC,0.891779193
Melody-G2,GSM5652354_Lung-Alveolar-Epithelial-Z000000T1,SAMPLE_VALID,AUC,0.914598165
Melody-G2,GSM5652354_Lung-Alveolar-Epithelial-Z000000T1,SAMPLE_TEST,AUC,0.912408883
Melody-G2,GSM5652354_Lung-Alveolar-Epithelial-Z000000T1,VALID,AUC,0.892523131
Melody-G2,GSM5652354_Lung-Alveolar-Epithelial-Z000000T1,TEST,AUC,0.892986094
Melody-G2,GSM5652358_Gallbladder-Epithelial-Z00000432,SAMPLE_VALID,AUC,0.901413078
Melody-G2,GSM5652358_Gallbladder-Epithelial-Z00000432,SAMPLE_TEST,AUC,0.900719434
Melody-G2,GSM5652358_Gallbladder-Epithelial-Z00000432,VALID,AUC,0.881976888
Melody-G2,GSM5652358_Gallbladder-Epithelial-Z00000432,TEST,AUC,0.881409689
Melody-G2,GSM5652359_Gastric-fundus-Epithelial-Z000000RX,SAMPLE_VALID,AUC,0.911762899
Melody-G2,GSM5652359_Gastric-fundus-Epithelial-Z000000RX,SAMPLE_TEST,AUC,0.911536192
Melody-G2,GSM5652359_Gastric-fundus-Epithelial-Z000000RX,VALID,AUC,0.883595969
Melody-G2,GSM5652359_Gastric-fundus-Epithelial-Z000000RX,TEST,AUC,0.882539297
Melody-G2,GSM5652370_Colon-Right-Epithelial-Z000000V0,SAMPLE_VALID,AUC,0.893309955
Melody-G2,GSM5652370_Colon-Right-Epithelial-Z000000V0,SAMPLE_TEST,AUC,0.897595586
Melody-G2,GSM5652370_Colon-Right-Epithelial-Z000000V0,VALID,AUC,0.876684196
Melody-G2,GSM5652370_Colon-Right-Epithelial-Z000000V0,TEST,AUC,0.873974651
Melody-G2,GSM5652378_Small-int-Epithelial-Z0000042V,SAMPLE_VALID,AUC,0.899584403
Melody-G2,GSM5652378_Small-int-Epithelial-Z0000042V,SAMPLE_TEST,AUC,0.906583124
Melody-G2,GSM5652378_Small-int-Epithelial-Z0000042V,VALID,AUC,0.880403541
Melody-G2,GSM5652378_Small-int-Epithelial-Z0000042V,TEST,AUC,0.878538008
INTERACT,GSM5652176_Adipocytes-Z000000T7,VALID,AUC,0.890694762
INTERACT,GSM5652176_Adipocytes-Z000000T7,TEST,AUC,0.892283381
INTERACT,GSM5652176_Adipocytes-Z000000T7,SAMPLE_VALID,AUC,0.867304605
