gene,score
CD248,0.0123038132486106
NR5A2,0.0122610400966506
MMRN2,-0.0096201583804874
PLVAP,-0.0096125520392894
MYLK,-0.0095972498697421
IL1B,-0.0095760416002606
GSTA2,-0.0095530436032772
AKAP12,-0.0094939825989121
GJB2,-0.009492371844343
MMP3,-0.0094785909431266
ESAM,0.0120006371460653
NDRG1,0.0119018596795457
NUAK2,0.0118407225878918
PBK,0.0117372685899794
COL15A1,0.011732249873874
MMP2,-0.0092130848828828
TF,-0.0091451647281598
EVI2B,-0.0091397955461108
MFGE8,-0.0091150973078637
NCF2,0.0114999061110629
C6orf58,-0.0090391233793822
CD300LF,-0.0090234632648825
RAC2,-0.0090179151099007
GIMAP4,-0.0090129933594988
CLDN2,-0.009003597290799
PTPN7,-0.0089807782662918
ATP6V0D2,-0.0089724560338191
PIK3AP1,-0.0089611807513793
CAV1,-0.0088789427770979
ANXA4,0.0112818200655718
DUSP6,-0.0088289198964803
BIN2,-0.0087743332104131
SLAMF8,-0.0087569728546497
IFI16,-0.0087521405909426
VCAN,0.011114149308934
ARHGAP31,-0.0086982697956936
LSP1,-0.0086885157815847
IGSF6,0.011036815449762
SPRR2A,-0.0086409090325922
SLC6A8,-0.0086018034890053
OPRK1,-0.0085550021175257
PALMD,-0.008549274989611
OAS2,-0.0085244872651258
VTN,-0.008512317118935
VSTM4,-0.0085091850960351
TREM1,-0.0084615783470426
MS4A6A,-0.0084503925508409
PLAU,-0.0084268576355156
SLITRK6,-0.0084171931076449
MERTK,0.0106560773643207
OLFML3,-0.0083564318620159
ADAMTS12,0.0105331188098411
TFF1,-0.0082519117820259
BST2,0.0104666208156226
TAC1,-0.008223276143366
CNGA1,-0.0082108375380043
MRC1,0.0104115289959587
LUM,0.0103786792146388
CD48,-0.0081285995637229
SLC37A2,-0.0080885991563851
ITGB7,-0.0080853776472471
LMCD1,0.0102426035602946
DNAJC5B,-0.0080524466627652
P2RY6,-0.008020679001662
EDNRA,-0.0079710140659967
PECAM1,-0.0079675240976877
APOL1,0.0100930686202089
SLC22A2,-0.0078242564190632
C3,-0.0078009004766708
SYT8,-0.0077668061697238
IL24,-0.007764211064709
ANXA13,-0.0077038972516406
RASL12,0.0097722129479773
ALOX5AP,-0.0076306079144119
LAMB3,-0.0076237174640321
STOM,0.0096720667408604
VWF,-0.0075985717936811
PDLIM3,-0.0075957082299521
TPSAB1,-0.0075731576646158
TSPAN1,0.0095722627190384
TDO2,-0.0075183920060725
HAS2,-0.0074896668816312
SRPX,-0.0074689955300349
GABRA1,-0.0074553041155132
NTS,-0.0074516351742714
CA2,-0.0074140508985587
CREB5,-0.0073909634153372
SERINC2,-0.0073743189503918
THBS4,-0.0073112310593758
EMCN,-0.0072859959032434
EGR2,0.0092577945040916
PDGFRA,0.0091912965098731
PYY,-0.0071977623423331
MMP11,-0.0071958831285932
POSTN,-0.0071805809590458
STAB1,0.0090763222769996
GBP4,0.0090559052255366
PCDH18,0.0090360584830923
GABRA2,-0.007040624276254
GLUL,0.0089175483362815
TGFBR2,-0.0069850532406546
TBX3,0.0088357660688585
RNASE6,-0.0069032626980203
LPL,-0.0068663943135824
FGA,-0.0068254095562556
ABI3,0.0086670687569183
ROBO4,-0.0067699280068942
ITPRIP,-0.0067605319377377
SEMA3G,0.0085642991301778
CHST4,-0.0067083613842091
CTSS,-0.0066538641848368
ADORA3,-0.0066005303083863
TUBB6,0.0083495208749001
PRKCB,-0.0065278673757376
CELA2A,0.0082944290552362
KCNE4,0.0082871291036377
TNFAIP6,0.0082720729541571
SLC34A2,-0.0064426763514892
KANK4,0.0081533346836223
KRT17,0.0081190021001341
ALAS2,-0.0063709082825914
BTK,-0.0063669708821786
GALNT6,-0.0063260756110898
CALB2,-0.0063122947103301
HTRA1,-0.0062908179812209
EHD2,-0.0062594977517648
GFI1B,-0.0062463432551284
CD4,-0.0062460747964141
ITGB6,-0.0062438376368084
PAMR1,-0.0062432112322285
CCR9,0.007892931733037
MCHR1,0.0078609944460307
SUCNR1,-0.0061777966958254
CGA,-0.0061769913183125
SLC22A3,0.0078481054698901
TOP2A,0.007835786801604
SLCO4A1,-0.0061588255854929
