model,track,split,metric,value
iDNA-ABT,GSM5652338_Prostate-Epithelial-Z000000RV,SAMPLE_VALID,Spearman,0.351739999296155
iDNA-ABT,GSM5652338_Prostate-Epithelial-Z000000RV,SAMPLE_VALID,AUC,0.7060811501311707
iDNA-ABT,GSM5652338_Prostate-Epithelial-Z000000RV,SAMPLE_TEST,Pearson,0.4822516422656836
iDNA-ABT,GSM5652338_Prostate-Epithelial-Z000000RV,SAMPLE_TEST,Spearman,0.4152496532272879
iDNA-ABT,GSM5652338_Prostate-Epithelial-Z000000RV,SAMPLE_TEST,AUC,0.7381141013535573
iDNA-ABT,GSM5652198_Colon-Fibroblasts-Z0000042A,SAMPLE_VALID,Pearson,0.3912676564024925
iDNA-ABT,GSM5652198_Colon-Fibroblasts-Z0000042A,SAMPLE_VALID,Spearman,0.215160363307909
iDNA-ABT,GSM5652198_Colon-Fibroblasts-Z0000042A,SAMPLE_VALID,AUC,0.65309771453427
iDNA-ABT,GSM5652198_Colon-Fibroblasts-Z0000042A,SAMPLE_TEST,Pearson,0.4538638620003125
iDNA-ABT,GSM5652198_Colon-Fibroblasts-Z0000042A,SAMPLE_TEST,Spearman,0.2837034058627665
iDNA-ABT,GSM5652198_Colon-Fibroblasts-Z0000042A,SAMPLE_TEST,AUC,0.6888479523378667
iDNA-ABT,GSM5652342_Bladder-Epithelial-Z000000QM,SAMPLE_VALID,Pearson,0.4046946399814613
iDNA-ABT,GSM5652342_Bladder-Epithelial-Z000000QM,SAMPLE_VALID,Spearman,0.354766797612131
iDNA-ABT,GSM5652342_Bladder-Epithelial-Z000000QM,SAMPLE_VALID,AUC,0.6949126718704057
iDNA-ABT,GSM5652342_Bladder-Epithelial-Z000000QM,SAMPLE_TEST,Pearson,0.467210105146995
iDNA-ABT,GSM5652342_Bladder-Epithelial-Z000000QM,SAMPLE_TEST,Spearman,0.416637319160664
iDNA-ABT,GSM5652342_Bladder-Epithelial-Z000000QM,SAMPLE_TEST,AUC,0.7296061385755814
iDNA-ABT,GSM5652200_Heart-Fibroblasts-Z0000043R,SAMPLE_VALID,Pearson,0.3923621345473024
iDNA-ABT,GSM5652200_Heart-Fibroblasts-Z0000043R,SAMPLE_VALID,Spearman,0.3350478152855565
iDNA-ABT,GSM5652200_Heart-Fibroblasts-Z0000043R,SAMPLE_VALID,AUC,0.6855129871930009
iDNA-ABT,GSM5652200_Heart-Fibroblasts-Z0000043R,SAMPLE_TEST,Pearson,0.4504284111642199
iDNA-ABT,GSM5652200_Heart-Fibroblasts-Z0000043R,SAMPLE_TEST,Spearman,0.383339845585942
iDNA-ABT,GSM5652200_Heart-Fibroblasts-Z0000043R,SAMPLE_TEST,AUC,0.712392638749119
iDNA-ABT,GSM5652347_Breast-Luminal-Epithelial-Z000000V2,SAMPLE_VALID,Pearson,0.4514981584265203
iDNA-ABT,GSM5652347_Breast-Luminal-Epithelial-Z000000V2,SAMPLE_VALID,Spearman,0.3550537161196161
iDNA-ABT,GSM5652347_Breast-Luminal-Epithelial-Z000000V2,SAMPLE_VALID,AUC,0.7252726065508922
iDNA-ABT,GSM5652347_Breast-Luminal-Epithelial-Z000000V2,SAMPLE_TEST,Pearson,0.5015386158916221
iDNA-ABT,GSM5652347_Breast-Luminal-Epithelial-Z000000V2,SAMPLE_TEST,Spearman,0.4161962415963096
iDNA-ABT,GSM5652347_Breast-Luminal-Epithelial-Z000000V2,SAMPLE_TEST,AUC,0.7519704516871275
iDNA-ABT,GSM5652204_Dermal-Fibroblasts-Z00000423,SAMPLE_VALID,Pearson,0.4756134491317701
iDNA-ABT,GSM5652204_Dermal-Fibroblasts-Z00000423,SAMPLE_VALID,Spearman,0.3901476295047328
iDNA-ABT,GSM5652204_Dermal-Fibroblasts-Z00000423,SAMPLE_VALID,AUC,0.73438071904368
iDNA-ABT,GSM5652204_Dermal-Fibroblasts-Z00000423,SAMPLE_TEST,Pearson,0.5401424067178987
