model,fpr,tpr
Melody-MT,2.179884030169595e-05,0.0017476768685527
Melody-MT,2.308112502532512e-05,0.0017819701795623
Melody-MT,2.308112502532512e-05,0.0018153019958707
Melody-MT,2.308112502532512e-05,0.001848633812179
Melody-MT,2.43634097489543e-05,0.0018826066249548
Melody-MT,2.43634097489543e-05,0.0019172204341981
Melody-MT,2.43634097489543e-05,0.0019492702575716
Melody-MT,2.43634097489543e-05,0.0019902940314895
Melody-MT,2.692797919621264e-05,0.0020361252789135
Melody-MT,2.692797919621264e-05,0.0020704185899231
Melody-MT,2.692797919621264e-05,0.0021098398726724
Melody-MT,2.692797919621264e-05,0.0021524661377591
Melody-MT,2.821026391984181e-05,0.0022047073498577
Melody-MT,2.949254864347099e-05,0.002240603152036
Melody-MT,2.949254864347099e-05,0.0022896393817973
Melody-MT,3.077483336710016e-05,0.0023351501309876
Melody-MT,3.077483336710016e-05,0.0023723279261007
Melody-MT,3.205711809072933e-05,0.0024159156858886
Melody-MT,3.333940281435851e-05,0.0024649519156499
Melody-MT,3.333940281435851e-05,0.0025194366153848
Melody-MT,3.462168753798768e-05,0.0025633448734064
Melody-MT,3.590397226161686e-05,0.0026143040925701
Melody-MT,3.590397226161686e-05,0.0026649428135001
Melody-MT,3.718625698524603e-05,0.0027178250220663
Melody-MT,3.718625698524603e-05,0.0027623742765553
Melody-MT,3.84685417088752e-05,0.0028200639586275
Melody-MT,3.84685417088752e-05,0.0028937785523863
Melody-MT,4.103311115613355e-05,0.0029485837503549
Melody-MT,4.103311115613355e-05,0.0029960174889476
Melody-MT,4.231539587976272e-05,0.0030511431851499
Melody-MT,4.487996532702107e-05,0.0031091533654558
Melody-MT,4.487996532702107e-05,0.0031697275316315
Melody-MT,4.487996532702107e-05,0.0032283787084049
Melody-MT,4.487996532702107e-05,0.0032799789240361
Melody-MT,4.744453477427942e-05,0.0033315791396673
Melody-MT,4.872681949790859e-05,0.0033988837687515
Melody-MT,4.872681949790859e-05,0.0034565734508237
Melody-MT,5.000910422153777e-05,0.0035267625640115
Melody-MT,5.129138894516694e-05,0.0035873367301872
Melody-MT,5.257367366879611e-05,0.0036376549528835
Melody-MT,5.257367366879611e-05,0.0036924601508521
Melody-MT,5.257367366879611e-05,0.0037594442817025
Melody-MT,5.385595839242529e-05,0.0038123264902687
Melody-MT,5.513824311605446e-05,0.003877067133483
Melody-MT,5.513824311605446e-05,0.0039450127590346
Melody-MT,5.513824311605446e-05,0.0040251373174682
Melody-MT,5.770281256331281e-05,0.0040889164659813
Melody-MT,6.154966673420032e-05,0.0041674385332462
Melody-MT,6.154966673420032e-05,0.0042308971835256
Melody-MT,6.28319514578295e-05,0.0042982018126098
Melody-MT,6.411423618145867e-05,0.0043764033816409
Melody-MT,6.411423618145867e-05,0.0044603739188793
Melody-MT,6.411423618145867e-05,0.0045283195444309
Melody-MT,6.796109035234619e-05,0.0045985086576187
Melody-MT,7.052565979960454e-05,0.0046792742125198
Melody-MT,7.309022924686289e-05,0.0047478608345389
Melody-MT,7.437251397049206e-05,0.0048267034000375
Melody-MT,7.437251397049206e-05,0.0049093919443409
Melody-MT,7.437251397049206e-05,0.0049750940822565
Melody-MT,7.821936814137958e-05,0.0050603466124298
Melody-MT,7.950165286500876e-05,0.0051340612061886
Melody-MT,7.950165286500876e-05,0.0052100192875837
Melody-MT,8.078393758863793e-05,0.0052997587930292
Melody-MT,8.20662223122671e-05,0.0053670634221134
Melody-MT,8.71953612067838e-05,0.0054532774469879
Melody-MT,8.975993065404214e-05,0.0055366069877588
Melody-MT,8.975993065404214e-05,0.0056164110479587
Melody-MT,8.975993065404214e-05,0.0057045480622356
Melody-MT,9.360678482492968e-05,0.0057840316242017
Melody-MT,9.360678482492968e-05,0.0058718481402448
Melody-MT,9.6171354272188e-05,0.0059516522004447
Melody-MT,0.000100018208443,0.0060558141264083
Melody-MT,0.0001013004931667,0.006142989645984
