model,recall,precision
Melody-MT,0.9995811088085094,0.8229606831436387
Melody-MT,0.9995801473138082,0.8229839962023008
Melody-MT,0.999579185819107,0.8230101339503301
Melody-MT,0.9995788653208733,0.82303158858079
Melody-MT,0.9995775833279384,0.8230620268577735
Melody-MT,0.9995769423314708,0.8230873475096822
Melody-MT,0.9995759808367696,0.8231169677767558
Melody-MT,0.9995756603385358,0.8231419040628739
Melody-MT,0.9995746988438348,0.8231700074905259
Melody-MT,0.999573096352666,0.823193022149702
Melody-MT,0.9995727758544324,0.8232168766891299
Melody-MT,0.9995718143597312,0.823242377737339
Melody-MT,0.99957085286503,0.823265924563066
Melody-MT,0.999569570872095,0.823292251420462
Melody-MT,0.9995686093773936,0.8233179746372966
Melody-MT,0.9995673273844587,0.8233434355167425
Melody-MT,0.999567006886225,0.8233633863068582
Melody-MT,0.9995663658897576,0.8233856826273668
Melody-MT,0.9995654043950564,0.8234088031318612
Melody-MT,0.9995641224021214,0.8234357916770406
Melody-MT,0.9995631609074204,0.8234584802563226
Melody-MT,0.9995602764233168,0.8234834996748334
Melody-MT,0.9995593149286154,0.82350836547914
Melody-MT,0.999558673932148,0.8235289302506368
Melody-MT,0.9995577124374468,0.8235572784358876
Melody-MT,0.999557391939213,0.8235776748190116
Melody-MT,0.9995564304445118,0.8236005890032999
Melody-MT,0.9995554689498106,0.8236261146168807
Melody-MT,0.9995545074551094,0.8236499016770623
Melody-MT,0.999553866458642,0.8236682983772249
Melody-MT,0.9995529049639408,0.823690565138767
Melody-MT,0.999552584465707,0.8237157545100724
Melody-MT,0.9995519434692396,0.8237374177581621
Melody-MT,0.999551302472772,0.8237612579893491
Melody-MT,0.9995509819745384,0.8237857989616109
Melody-MT,0.9995506614763046,0.8238103414118735
Melody-MT,0.9995496999816034,0.8238313103430058
Melody-MT,0.9995487384869022,0.823855327224467
Melody-MT,0.9995487384869022,0.823878614550689
Melody-MT,0.999547776992201,0.8239011106584856
Melody-MT,0.9995455335045648,0.8239225512949727
Melody-MT,0.99954425151163,0.8239480509461723
Melody-MT,0.9995432900169288,0.8239688094617852
Melody-MT,0.9995420080239936,0.8239964891718641
Melody-MT,0.9995397645363576,0.8240190237135874
Melody-MT,0.9995388030416564,0.8240395682350715
Melody-MT,0.9995378415469552,0.8240561944653186
Melody-MT,0.9995372005504878,0.8240789649263502
Melody-MT,0.9995352775610854,0.8240989375763338
Melody-MT,0.999534636564618,0.8241188794040175
Melody-MT,0.9995339955681504,0.8241412178690846
Melody-MT,0.9995327135752154,0.8241619400502158
Melody-MT,0.9995314315822804,0.8241833167545991
Melody-MT,0.9995301495893456,0.8241996847683492
Melody-MT,0.9995288675964108,0.8242234596711745
Melody-MT,0.9995288675964108,0.8242469861208533
Melody-MT,0.9995288675964108,0.8242705139136378
Melody-MT,0.9995279061017096,0.8242925965170933
Melody-MT,0.9995253421158397,0.8243131408845876
Melody-MT,0.9995240601229046,0.824333218440874
Melody-MT,0.9995230986282034,0.824352471851544
Melody-MT,0.9995227781299696,0.8243707294946354
Melody-MT,0.9995214961370348,0.8243910279031862
Melody-MT,0.9995202141441,0.8244124170272835
Melody-MT,0.9995195731476324,0.8244319386440335
Melody-MT,0.9995173296599964,0.8244534087156932
Melody-MT,0.999516368165295,0.8244713601941529
Melody-MT,0.9995157271688276,0.8244928464998134
Melody-MT,0.9995157271688276,0.824513118818229
Melody-MT,0.9995147656741264,0.8245358689447617
Melody-MT,0.9995131631829576,0.8245583095859683
Melody-MT,0.9995122016882564,0.8245799721898399
Melody-MT,0.9995112401935552,0.8245983654606591
Melody-MT,0.999510278698854,0.8246187219815722
